City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Natal Palace Hotel
1,Hilo,US,81.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
3,Arraial Do Cabo,BR,85.96,few clouds,-22.9661,-42.0278,
5,Hobyo,SO,76.78,broken clouds,5.3505,48.5268,
6,Rikitea,PF,77.63,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
11,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Tara-Mé
12,San Rafael Del Sur,NI,85.17,clear sky,11.8485,-86.4384,
13,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
16,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
17,Waingapu,ID,78.24,heavy intensity rain,-9.6567,120.2641,HOTEL SANDLEWOOD
24,Sao Filipe,CV,77.2,clear sky,14.8961,-24.4956,Bela Vista
28,Tual,ID,82.99,overcast clouds,-5.6667,132.75,Suita
30,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
39,Rio Grande,BR,82.51,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
40,East London,ZA,81.54,thunderstorm with light rain,-33.0153,27.9116,
44,Kupang,ID,77.58,heavy intensity rain,-10.1667,123.5833,BIB & LANG GUEST HOUSE
46,Samana,DO,80.56,scattered clouds,19.2056,-69.3369,Hotel Cotubanamá
50,Cape Town,ZA,77.09,few clouds,-33.9258,18.4232,Townhouse Hotel
54,Salalah,OM,75.29,clear sky,17.0151,54.0924,Muscat International Hotel
55,Carnarvon,AU,77.67,few clouds,-24.8667,113.6333,
57,Butaritari,KI,81.0,light rain,3.0707,172.7902,
61,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,Le Baril
63,Atuona,PF,77.41,light rain,-9.8,-139.0333,Pearl Resort
65,Kavieng,PG,82.27,overcast clouds,-2.5744,150.7967,Kavieng Hotel
68,Port Elizabeth,ZA,79.32,thunderstorm with light rain,-33.918,25.5701,Waterford Hotel
70,Manado,ID,75.97,few clouds,1.487,124.8455,Swiss Belhotel
73,Cockburn Town,TC,76.14,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
74,Port Alfred,ZA,77.18,scattered clouds,-33.5906,26.891,
80,Saint Pete Beach,US,77.23,broken clouds,27.7253,-82.7412,Grand Plaza Hotel
81,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,
84,Villa Carlos Paz,AR,87.39,broken clouds,-31.4241,-64.4978,Hoterl Victor
85,Hithadhoo,MV,81.61,few clouds,-0.6,73.0833,Pebbles Inn
88,Mar Del Plata,AR,81.82,light rain,-38.0023,-57.5575,Nuevo Ostende
93,Chuy,UY,79.74,few clouds,-33.6971,-53.4616,Alerces
107,Point Pedro,LK,77.32,broken clouds,9.8167,80.2333,Iru Lodge Guesthouse
110,Sorong,ID,80.44,light rain,-0.8833,131.25,Hotel Membramo Marina
112,Hambantota,LK,76.08,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
123,Lazaro Cardenas,MX,78.57,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
125,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Prainha
135,Merauke,ID,80.78,overcast clouds,-8.4667,140.3333,
137,Yaan,NG,87.67,overcast clouds,7.3833,8.5667,
139,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
140,Maragogi,BR,82.71,broken clouds,-9.0122,-35.2225,Pousada Mariluz
143,Ixtapa,MX,75.22,scattered clouds,20.7,-105.2,
145,Touros,BR,82.76,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
149,Lorengau,PG,80.44,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
152,Sokoni,TZ,82.26,broken clouds,-6.4333,39.55,La Madrugada Beach Hotel
154,Vanimo,PG,76.48,broken clouds,-2.6741,141.3028,CBC Guesthouse
155,Rawson,AR,83.88,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
159,Pangoa,PE,84.81,overcast clouds,-12.1167,-73.0,
160,Honiara,SB,77.05,light rain,-9.4333,159.95,King Solomon Hotel
162,Castro,BR,75.02,broken clouds,-24.7911,-50.0119,Hotel Central Palace
167,Taoudenni,ML,75.25,overcast clouds,22.6783,-3.9836,
168,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,JARS RESORT
169,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
170,Richards Bay,ZA,79.54,broken clouds,-28.783,32.0377,Protea Hotel
172,Pangai,TO,78.91,few clouds,-19.8,-174.35,Billy's Place
175,Miri,MY,77.14,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
177,Gigmoto,PH,75.76,heavy intensity rain,13.7796,124.39,
181,Novo Aripuana,BR,77.72,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
182,Mahebourg,MU,80.89,light rain,-20.4081,57.7,Grand Bel Air
183,Coihaique,CL,83.01,clear sky,-45.5752,-72.0662,
185,Jizan,SA,79.74,scattered clouds,17.3333,42.6667,
186,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Deyna's City Inn
187,Catuday,PH,76.55,clear sky,16.2923,119.8062,Nina Anchors Inn
192,Kirakira,SB,79.47,overcast clouds,-10.4544,161.9205,
193,Trairi,BR,83.95,moderate rain,-3.2778,-39.2689,
195,Gadung,PH,77.79,scattered clouds,6.8025,124.02,
