City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Natal,BR,-5.795,-35.2094,83.05,78,75,16.11,broken clouds
1,Hilo,US,19.7297,-155.09,81.28,79,0,4.61,clear sky
2,Vila,PT,42.0304,-8.1588,34.68,90,94,5.37,light snow
3,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,20,20.71,few clouds
4,Palu,ID,-0.8917,119.8707,74.68,95,95,1.86,overcast clouds
5,Hobyo,SO,5.3505,48.5268,76.78,78,64,19.46,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,77.63,73,69,5.5,broken clouds
7,Tuatapere,NZ,-46.1333,167.6833,52.77,94,49,3.76,scattered clouds
8,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,41,75,24.61,broken clouds
9,Haines Junction,CA,60.7522,-137.5108,6.39,99,100,1.99,overcast clouds
10,Stornoway,GB,58.2093,-6.3865,34.03,80,40,9.22,scattered clouds
11,Port-Gentil,GA,-0.7193,8.7815,82.36,78,40,0.0,light rain
12,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,43,2,7.38,clear sky
13,Georgetown,MY,5.4112,100.3354,82.33,72,20,8.05,few clouds
14,Karasjok,NO,69.4719,25.5112,22.48,95,100,15.48,light snow
15,Patitirion,GR,39.15,23.8667,60.37,76,12,24.02,few clouds
16,Avarua,CK,-21.2078,-159.775,75.25,100,75,13.8,heavy intensity rain
17,Waingapu,ID,-9.6567,120.2641,78.24,84,100,6.55,heavy intensity rain
18,Mataura,NZ,-46.1927,168.8643,52.29,98,42,1.81,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,64.06,52,75,13.8,broken clouds
20,Bose,IT,45.4612,8.0137,37.2,94,15,2.53,few clouds
21,Berdigestyakh,RU,62.0989,126.6992,-60.3,100,98,2.59,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,35.49,99,100,8.01,snow
23,Albany,US,42.6001,-73.9662,42.67,85,100,1.01,overcast clouds
24,Sao Filipe,CV,14.8961,-24.4956,77.2,62,0,15.75,clear sky
25,Pevek,RU,69.7008,170.3133,-33.47,100,100,2.39,overcast clouds
26,Rosetta,EG,31.4044,30.4164,60.01,75,0,13.8,clear sky
27,Marathon,US,44.9,-89.7668,31.75,84,100,8.05,overcast clouds
28,Tual,ID,-5.6667,132.75,82.99,77,99,16.98,overcast clouds
29,Busselton,AU,-33.65,115.3333,61.12,65,34,16.73,scattered clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,89,5.01,overcast clouds
31,Talnakh,RU,69.4865,88.3972,-18.8,83,100,6.71,overcast clouds
32,Port Hardy,CA,50.6996,-127.4199,37.58,93,75,8.05,broken clouds
33,Torbay,CA,47.6666,-52.7314,42.58,89,75,16.11,light rain
34,Kevsala,RU,45.7983,42.6903,35.51,83,43,13.4,scattered clouds
35,Beringovskiy,RU,63.05,179.3167,-23.08,93,23,7.11,few clouds
36,Pasighat,IN,28.0667,95.3333,54.93,62,0,4.21,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,69.91,46,0,31.07,clear sky
